filename,start,end
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0001.V5_1.nc,1992-09-25T04:49:31.0,1992-10-03T02:04:44.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0002.V5_1.nc,1992-10-03T02:05:37.0,1992-10-13T00:03:12.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0003.V5_1.nc,1992-10-13T00:04:05.9,1992-10-22T22:01:44.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0004.V5_1.nc,1992-10-22T22:02:38.0,1992-11-01T20:00:16.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0005.V5_1.nc,1992-11-01T20:01:10.0,1992-11-11T17:58:48.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0006.V5_1.nc,1992-11-11T17:59:42.0,1992-11-21T15:57:20.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0007.V5_1.nc,1992-11-21T15:58:14.0,1992-12-01T13:55:52.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0008.V5_1.nc,1992-12-01T13:56:45.0,1992-12-11T11:54:23.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0009.V5_1.nc,1992-12-11T11:55:16.0,1992-12-21T09:52:54.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0010.V5_1.nc,1992-12-21T09:53:47.0,1992-12-31T07:51:26.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0011.V5_1.nc,1992-12-31T07:52:19.0,1993-01-10T05:49:58.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0012.V5_1.nc,1993-01-10T05:50:51.0,1993-01-20T03:48:30.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0013.V5_1.nc,1993-01-20T03:49:23.0,1993-01-30T01:47:01.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0014.V5_1.nc,1993-01-30T01:47:54.0,1993-02-08T23:45:32.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0015.V5_1.nc,1993-02-08T23:46:26.0,1993-02-18T21:44:04.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0016.V5_1.nc,1993-02-18T21:44:57.0,1993-02-28T19:42:34.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0017.V5_1.nc,1993-02-28T19:43:28.0,1993-03-10T17:41:06.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0018.V5_1.nc,1993-03-10T17:42:00.0,1993-03-20T15:39:38.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0019.V5_1.nc,1993-03-20T15:40:31.0,1993-03-30T13:38:08.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0020.V5_1.nc,1993-03-30T17:23:06.9,1993-04-09T11:36:41.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0021.V5_1.nc,1993-04-09T11:37:34.0,1993-04-19T09:35:13.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0022.V5_1.nc,1993-04-19T09:36:06.0,1993-04-29T07:33:45.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0023.V5_1.nc,1993-04-29T07:34:37.9,1993-05-09T05:32:16.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0024.V5_1.nc,1993-05-09T05:33:10.0,1993-05-19T03:30:48.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0025.V5_1.nc,1993-05-19T03:31:41.9,1993-05-29T01:29:20.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0026.V5_1.nc,1993-05-29T01:30:13.0,1993-06-07T23:27:51.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0027.V5_1.nc,1993-06-07T23:28:44.0,1993-06-17T21:26:22.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0028.V5_1.nc,1993-06-17T21:27:15.0,1993-06-27T19:24:53.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0029.V5_1.nc,1993-06-27T19:25:47.0,1993-07-07T17:23:23.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0030.V5_1.nc,1993-07-07T17:24:17.0,1993-07-17T15:21:54.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0031.V5_1.nc,1993-07-17T15:22:47.9,1993-07-27T13:20:25.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0032.V5_1.nc,1993-07-27T13:21:18.0,1993-08-06T11:18:56.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0033.V5_1.nc,1993-08-06T11:19:49.0,1993-08-16T09:17:26.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0034.V5_1.nc,1993-08-16T09:18:21.0,1993-08-26T07:15:59.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0035.V5_1.nc,1993-08-26T07:16:53.0,1993-09-05T05:14:31.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0036.V5_1.nc,1993-09-05T05:15:24.0,1993-09-15T03:13:03.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0037.V5_1.nc,1993-09-15T03:13:55.9,1993-09-25T01:11:34.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0038.V5_1.nc,1993-09-25T01:12:28.0,1993-10-04T23:10:06.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0039.V5_1.nc,1993-10-04T23:10:59.0,1993-10-14T21:08:36.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0040.V5_1.nc,1993-10-14T21:09:31.0,1993-10-24T19:07:09.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0041.V5_1.nc,1993-10-24T19:08:02.0,1993-11-03T17:05:41.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0042.V5_1.nc,1993-11-03T17:06:30.0,1993-11-13T15:04:12.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0043.V5_1.nc,1993-11-13T15:05:05.9,1993-11-23T13:02:44.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0044.V5_1.nc,1993-11-23T13:03:37.0,1993-12-03T11:01:15.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0045.V5_1.nc,1993-12-03T11:02:09.0,1993-12-13T08:59:46.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0046.V5_1.nc,1993-12-13T09:00:39.9,1993-12-23T06:58:17.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0047.V5_1.nc,1993-12-23T06:59:11.0,1994-01-02T04:56:49.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0048.V5_1.nc,1994-01-02T04:57:42.0,1994-01-12T02:55:19.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0049.V5_1.nc,1994-01-12T02:56:13.0,1994-01-22T00:53:50.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0050.V5_1.nc,1994-01-22T00:54:43.0,1994-01-31T22:52:20.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0051.V5_1.nc,1994-01-31T22:53:14.0,1994-02-10T20:50:52.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0052.V5_1.nc,1994-02-10T20:51:46.0,1994-02-20T18:49:25.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0053.V5_1.nc,1994-02-20T18:50:18.0,1994-03-02T16:47:57.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0054.V5_1.nc,1994-03-02T16:48:50.0,1994-03-12T14:46:28.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0055.V5_1.nc,1994-03-12T14:47:22.0,1994-03-22T12:45:00.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0056.V5_1.nc,1994-03-22T12:45:54.0,1994-04-01T10:43:32.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0057.V5_1.nc,1994-04-01T10:44:25.0,1994-04-11T08:42:03.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0058.V5_1.nc,1994-04-11T08:42:55.9,1994-04-21T06:40:34.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0059.V5_1.nc,1994-04-21T06:41:27.0,1994-05-01T04:39:05.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0060.V5_1.nc,1994-05-01T04:39:59.0,1994-05-11T02:37:36.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0061.V5_1.nc,1994-05-11T02:38:30.0,1994-05-21T00:36:08.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0062.V5_1.nc,1994-05-21T00:37:01.0,1994-05-30T22:34:39.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0063.V5_1.nc,1994-05-30T22:35:32.9,1994-06-09T20:33:11.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0064.V5_1.nc,1994-06-09T20:34:05.0,1994-06-19T18:31:43.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0065.V5_1.nc,1994-06-19T18:32:37.0,1994-06-29T16:30:15.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0066.V5_1.nc,1994-06-29T16:31:08.9,1994-07-09T14:28:46.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0067.V5_1.nc,1994-07-09T14:29:39.0,1994-07-19T12:27:18.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0068.V5_1.nc,1994-07-19T12:28:11.0,1994-07-29T10:25:49.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0069.V5_1.nc,1994-07-29T10:26:42.0,1994-08-08T08:24:20.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0070.V5_1.nc,1994-08-08T08:25:13.0,1994-08-18T06:22:51.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0071.V5_1.nc,1994-08-18T06:23:44.0,1994-08-28T04:21:22.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0072.V5_1.nc,1994-08-28T04:22:16.0,1994-09-07T02:19:53.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0073.V5_1.nc,1994-09-07T02:20:47.0,1994-09-17T00:18:24.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0074.V5_1.nc,1994-09-17T00:19:16.9,1994-09-26T22:16:55.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0075.V5_1.nc,1994-09-26T22:17:48.0,1994-10-06T20:15:26.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0076.V5_1.nc,1994-10-06T20:16:19.0,1994-10-16T18:13:57.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0077.V5_1.nc,1994-10-16T18:14:51.0,1994-10-26T16:12:29.9
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0078.V5_1.nc,1994-10-26T16:13:24.0,1994-11-05T14:11:02.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0079.V5_1.nc,1994-11-05T14:11:56.0,1994-11-15T12:09:34.0
Merged_TOPEX_Jason_OSTM_Jason-3_Cycle_0080.V5_1.nc,1994-11-15T12:10:28.0,1994-11-25T10:08:06.0
